id,funding_project_number,funding_project,project_id,funding_source,responsible_party_name,consultant_name,assessment_date,stream_crossing_id,assessment_id,external_crossing_reference,crew_members,utm_zone,utm_easting,utm_northing,location_confidence_ind,stream_name,road_name,road_km_mark,road_tenure,crossing_type_code,crossing_type_desc,crossing_subtype_code,crossing_subtype_desc,diameter_or_span,length_or_width,continuous_embeddedment_ind,average_depth_embededdment,resemble_channel_ind,backwatered_ind,percentage_backwatered,fill_depth,outlet_drop,outlet_pool_depth,inlet_drop_ind,culvert_slope,downstream_channel_width,stream_slope,beaver_activity_ind,fish_observed_ind,valley_fill_code,valley_fill_code_desc,habitat_value_code,habitat_value_desc,stream_width_ratio,stream_width_ratio_score,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,final_score,barrier_result_code,barrier_result_description,crossing_fix_code,crossing_fix_desc,recommended_diameter_or_span,assessment_comment,ecocat_url,image_view_url,current_pscis_status,current_crossing_type_code,current_crossing_type_desc,current_crossing_subtype_code,current_crossing_subtype_desc,current_barrier_result_code,current_barrier_description,feature_code,objectid,se_anno_cad_data,ogc_fid,study_area,geom
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a07,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62291,62431,ELKR053,BM/KN,11,647946,5580211,Y,Bleasedel Creek,Elk River FSR,140,FSR,OBS,Open Bottom Structure,BRIDGE,Bridge,12,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASSABLE,Passable - No barrier,NA,NA,NA,Bridge in good condition,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62431,ASSESSED,OBS,Open Bottom Structure,BRIDGE,Bridge,PASSABLE,Passable - No barrier,NA,25018703,NA,11331,elk,"c(1784973.12324776, 654874.859925103)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a48,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62225,62365,ELKR009,JB/TF,11,642227,5597378,Y,Elk River Tibutary,Elk River FSR,158,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.4,10,N,NA,N,N,NA,0.5,0,0,N,4,0.2,8,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.5,0,0,10,0,10,20,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.4,Poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62365,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018638,NA,11261,elk,"c(1777101.46903798, 671178.468721833)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a47,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62226,62366,ELKR500,JB/TF,11,643449,5595517,Y,Elk River Tibutary,Elk River FSR,156,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.4,8.3,N,NA,N,N,NA,0.65,0,0,N,3,0.2,18,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.5,0,0,10,0,10,20,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.4,Dry Channel. Poor Fish Habitat. Fish use unlikely,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62366,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018639,NA,11262,elk,"c(1778551.53120121, 669487.93943573)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a46,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62227,62367,ELKR015,JB/TF,11,643467,5595551,Y,Elk River Tibutary,Elk River FSR,156,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.6,10,N,NA,N,N,NA,1,0.39,0,N,8,0.4,18,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.667,0,0,10,10,10,30,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.6,Poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62367,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018640,NA,11263,elk,"c(1778565.01479877, 669523.98670572)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a45,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62228,62368,ELKR008,JB/TF,11,642076,5597636,Y,Elk River Tibutary,Elk River FSR,158,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.6,13.2,N,NA,N,N,NA,1.2,0.1,0,N,7,0.4,8,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.667,0,0,10,0,10,20,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.6,Poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62368,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018641,NA,11264,elk,"c(1776918.69635814, 671415.19867963)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a44,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62229,62369,ELKR007,JB/TF,11,641993,5597730,N,Elk River Tibutary,Elk River FSR,158,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.4,8,N,NA,N,N,NA,0.7,0,0,N,2,0.4,9,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,1,3,0,10,0,5,18,POTENTIAL,Potential barrier,SS-CBS,Replace structure with streambed simulation CBS,0.4,Poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62369,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,POTENTIAL,Potential barrier,NA,25018642,NA,11265,elk,"c(1776824.3608199, 671497.867064408)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a43,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62230,62370,ELKR016,JB/TF,11,643538,5595322,Y,Elk River Tibutary,Elk River FSR,156,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.4,6,N,NA,N,N,NA,0.5,0,0,N,2,0.3,8,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.75,0,0,10,0,5,15,POTENTIAL,Potential barrier,SS-CBS,Replace structure with streambed simulation CBS,0.4,Poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62370,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,POTENTIAL,Potential barrier,NA,25018643,NA,11266,elk,"c(1778664.76725227, 669305.806488064)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a42,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62231,62371,ELKR018,JB/TF,11,643828,5594857,Y,Elk River Tibutary,Elk River FSR,155,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.3,8,N,NA,N,N,NA,0.3,0.78,0,N,1,0.3,7,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,1,3,0,10,10,5,28,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.3,Poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62371,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018644,NA,11267,elk,"c(1779011.89128934, 668881.449486354)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a06,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-17,62292,62432,ELKR049,JB/TF,11,649014,5581205,Y,Elk River Tibutary,Round Prarie,NA,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.3,5.6,N,NA,N,N,NA,0.2,0.1,0,N,0.5,0.2,3,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.667,0,0,10,0,0,10,PASSABLE,Passable - No barrier,NA,NA,NA,Culvert is funtioning well,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62432,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,PASSABLE,Passable - No barrier,NA,25018704,NA,11332,elk,"c(1785904.49075746, 655998.043898932)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a41,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62232,62372,ELKR013,JB/TF,11,643010,5596137,Y,Elk River Tibutary,Elk River FSR,157,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.4,9,N,NA,N,N,NA,0.7,0.35,0,N,30,0.4,25,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,1,3,0,10,10,10,33,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.4,stream gradient likely too steep for fish use. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62372,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018645,NA,11268,elk,"c(1778036.8216492, 670047.0572168)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a40,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62233,62373,ELKR504,JB/TF,11,642962,5596165,Y,Elk River Tibutary,Elk River FSR,157,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.4,10,N,NA,N,N,NA,0.5,0,0,N,5,0.3,18,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.75,0,0,10,0,10,20,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.4,Poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62373,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018646,NA,11269,elk,"c(1777985.64698877, 670068.699491562)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a3f,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62234,62374,ELKR509,JB/TF,11,642501,5596976,Y,Elk River Tibutary,Elk River FSR,158,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.6,7,N,NA,N,N,NA,1,0.35,0,N,5,0.4,10,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.667,0,0,10,10,10,30,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.6,Poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62374,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018647,NA,11271,elk,"c(1777424.64309816, 670814.572474791)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a3e,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62235,62375,ELKR010,JB/TF,11,642455,5597117,Y,Elk River Tibutary,Elk River FSR,158,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.6,6.3,Y,0.15,Y,N,NA,0.6,0,0,N,2,0.5,17,N,N,DF,Deep Fill - No or little bedrock showing on stream,MEDIUM,Medium habitat value,0.833,0,0,5,0,5,10,PASSABLE,Passable - No barrier,NA,NA,NA,Culvert functioning well.,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62375,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,PASSABLE,Passable - No barrier,NA,25018648,NA,11272,elk,"c(1777360.96164762, 670948.621465072)"
