fish_observation_point_id,gradient,stream_order,upstream_area_ha,channel_width,species_code,elevation
192467,0,8,898010.7783,28.04,ST,447
192467,0.0032,8,898010.7783,28.04,ST,447
301821,0.014,4,7811.2969,15,CO,649
301823,0.014,4,7811.2969,15,RB,649
275884,0.0878,3,256.7707,5.2,CT,518
16596,0.2034,1,NA,NA,CT,777
234689,0.062,4,2808.4673,6.77,CT,364
293273,0.1236,3,821.2101,4.61,BT,798
16593,0.0542,4,1936.5642,14,DV,885
302196,0.0806,4,2287.835,6.66,RB,412
261818,0.0125,6,64286.1518,35,RB,630
302183,0.0337,5,3710.2621,7.49,CT,767
302185,0.0337,5,3710.2621,7.49,CT,767
263412,0.0337,5,3710.2621,7.49,CT,804
234673,0.0571,5,4563.8679,12,CT,761
282325,0.0053,8,1051280.3112,28.81,RB,298
282325,0.0083,8,1051280.3112,28.81,RB,298
212274,0.0164,1,NA,NA,BT,965
212257,0.154,2,103.3201,4.9,BT,1284
212256,0.1453,1,NA,NA,RB,807
277324,0.0762,2,404.9675,3.1,DV,1069
213502,0.1191,1,NA,NA,DV,1094
277479,0.0915,2,347.7312,6.1,BT,964
16613,0.0922,1,NA,NA,CT,950
212262,0.0464,3,969.3765,NA,DV,1311
213560,0.0286,2,62.5807,NA,BT,1069
234695,0.0374,4,4352.7066,20,RB,325
302201,0.0691,4,3128.6672,15,RB,457
277475,0.0046,4,3514.0009,NA,DV,889
277260,0.0012,6,51964.5273,14.25,DV,785
265099,0.0012,6,51964.5273,14.25,ST,785
265099,2e-4,6,51964.5273,14.25,ST,785
302166,1e-4,6,51964.5273,14.25,DV,786
213507,0.0839,1,NA,NA,DV,928
277318,0.0325,2,1034.5311,3.62,BT,791
277254,0.0011,5,26890.5456,11.7,DV,786
302191,0.0033,4,4029.817,NA,CT,884
302198,0.0558,4,3504.5242,7.96,DV,407
265101,0.0014,4,5274.0034,NA,DV,884
263424,0.008,5,24826.1753,12.13,DV,799
277284,0.0168,1,NA,NA,RB,895
263415,0.009,5,21640.5398,18,CT,871
263416,0.009,5,21640.5398,18,DV,871
263421,0.0082,5,24664.5528,12.12,DV,816
234679,0,5,14846.4375,15,ST,896
263405,0.0026,4,19652.0848,NA,CT,799
263406,0.0026,4,19652.0848,NA,DV,799
263408,0.0026,4,19652.0848,NA,RB,799
263428,0.0069,5,14031.3522,10.75,DV,925
212280,0.1054,3,330.1489,6.6,DV,1146
275858,0.2014,1,NA,NA,BT,849
275859,0.2014,1,NA,NA,BT,849
277301,0.0475,3,677.5409,4.16,DV,1002
212285,0.0262,3,1202.0894,6,CT,1053
212286,0.0262,3,1202.0894,6,DV,1053
277312,0.0262,3,1202.0894,6,DV,1057
302169,0,4,17467.7985,10.5,DV,803
302173,0,4,17467.7985,10.5,DV,803
277296,0.0192,1,NA,NA,DV,995
277430,0.0092,2,1262.5732,2.2,RB,835
277305,0.0587,3,553.7005,3.5,DV,1049
292279,0.0492,3,1248.5548,3.2,CT,345
292279,0.0531,3,1248.5548,3.2,CT,345
263387,0.0151,4,10404.1004,33,CT,874
263388,0.0151,4,10404.1004,33,DV,874
212297,0.0895,1,NA,NA,CT,916
8752,0.0096,3,1880.974,4.14,CT,834
234688,0.0096,3,1880.974,4.14,CT,834
277300,0.1204,2,82.6387,2.33,DV,1107
277307,0.0816,2,170.9278,NA,DV,1209
263399,0.0173,4,9607.1442,9.74,RB,931
212301,0.0969,3,319.5922,2.95,DV,1127
277438,0.0969,3,319.5922,2.95,DV,1131
277487,0.08,1,NA,NA,BT,1225
231177,0.0083,2,219.0369,0.83,CO,514
231177,0.0172,2,219.0369,0.83,CO,514
301849,0.01,3,1728.7019,6,CT,500
301846,0.0821,4,3454.5342,6.24,RB,485
301826,0.017,6,25214.8101,11.19,CO,496
301826,0.0302,6,25214.8101,11.19,CO,496
192473,0.0109,8,897577.7908,28.03,ST,454
192473,0.0019,8,897577.7908,28.03,ST,454
301831,0.0226,4,4352.1826,7.49,DV,768
179019,0,4,3489.8241,4.97,RB,482
179019,0,4,3489.8241,4.97,RB,482
179021,0,4,3489.8241,4.97,RB,482
179021,0,4,3489.8241,4.97,RB,482
212351,0.057,2,681.1412,9.6,CT,514
261696,0.001,4,4161.4469,6.43,CO,481
261696,0.0047,4,4161.4469,6.43,CO,481
231172,0.0023,4,4200.909,2.5,PK,479
231172,0,4,4200.909,2.5,PK,479
264017,0.0023,4,4200.909,2.5,ST,479
264017,0,4,4200.909,2.5,ST,479
232150,0.0054,4,5474.2369,7,RB,479
232150,0.007,4,5474.2369,7,RB,479
277635,0.0211,1,NA,NA,DV,1033
213581,0.0211,1,NA,NA,DV,1035
232138,0.0151,1,NA,NA,CO,493
232138,0.0467,1,NA,NA,CO,493
318600,0,1,NA,NA,CT,947
334146,0,1,NA,NA,RB,947
347808,0,1,NA,NA,CT,947
231170,0.0205,6,23463.2623,15,DV,571
231170,0.0208,6,23463.2623,15,DV,571
301835,0.074,3,388.8072,3.2,DV,996
301828,0.0196,5,14218.4108,9.25,CO,768
301828,0.0311,5,14218.4108,9.25,CO,768
282346,0.0018,8,888974.9126,28,CO,471
282346,6e-4,8,888974.9126,28,CO,471
213483,0.0082,3,2302.3515,1.75,RB,473
277668,0.0395,3,1797.1586,4.1,RB,964
301834,0.0147,2,73.664,1.03,DV,809
192482,0.0018,8,886545.3701,27.98,ST,472
192482,0.0072,8,886545.3701,27.98,ST,472
192501,0.0072,8,886545.3701,27.98,ST,474
192501,0.0013,8,886545.3701,27.98,ST,474
119106,0.0468,3,1954.8928,2.96,CO,477
119106,0.0082,3,1954.8928,2.96,CO,477
4916,0,1,NA,NA,DV,528
192486,0,8,886250.0899,27.98,ST,474
192486,0,8,886250.0899,27.98,ST,474
74124,1e-4,8,886250.0899,27.98,CO,474
292261,1e-4,8,886250.0899,27.98,CH,474
292266,1e-4,8,886250.0899,27.98,CO,474
192462,0.0129,8,886250.0899,27.98,ST,477
192462,0.0039,8,886250.0899,27.98,ST,477
192464,0.0129,8,886250.0899,27.98,ST,477
192464,0.0039,8,886250.0899,27.98,ST,477
302181,0.0174,4,7592.6983,9.29,CT,999
212310,0.036,4,4410.6549,9.9,DV,751
263392,0.015,4,7216.9241,9.23,DV,1014
277436,0.0453,3,829.9336,4.27,DV,993
275862,0.0385,4,6669.7922,25,DV,398
302208,0.0316,4,5615.3063,12.8,PK,391
213373,0.1263,1,NA,NA,DV,979
213563,0.0865,1,NA,NA,BT,1192
275924,0.0244,3,512.5657,NA,DV,1226
234610,0.001,8,1006738.5728,28.61,CH,366
234610,0.001,8,1006738.5728,28.61,CH,366
329520,0,1,NA,NA,RB,555
336060,0,1,NA,NA,RB,555
354259,0,1,NA,NA,RB,555
367243,0,1,NA,NA,RB,555
368667,0,1,NA,NA,RB,555
192593,0.0127,8,1006470.9738,28.61,ST,367
192593,0.0127,8,1006470.9738,28.61,ST,367
261671,0.0064,8,1006470.9738,28.61,CO,369
302151,0.0064,8,1006470.9738,28.61,CO,370
302151,0.0016,8,1006470.9738,28.61,CO,370
321392,0.0071,1,NA,NA,RB,545
323369,0.0071,1,NA,NA,RB,545
336596,0.0071,1,NA,NA,RB,545
340795,0.0071,1,NA,NA,RB,545
342896,0.0071,1,NA,NA,RB,545
368505,0.0071,1,NA,NA,RB,545
275902,0.0255,5,8063.7794,13,PK,376
302210,0.0282,5,7915.6634,9.61,CT,436
302210,0.0314,5,7915.6634,9.61,CT,436
213374,0.2863,2,215.112,2.7,DV,672
275907,0.1908,2,215.112,2.7,BT,700
212306,0.0238,3,1172.4525,6.8,BT,1209
212307,0.0238,3,1172.4525,6.8,DV,1209
212313,0.0558,4,3182.3583,13,DV,884
275903,0.0232,4,3234.4965,8.11,DV,863
213568,0.0274,1,NA,NA,DV,1203
282329,0.0029,8,997215.0562,28.55,CH,380
282329,0.0018,8,997215.0562,28.55,CH,380
282330,0.0029,8,997215.0562,28.55,CO,380
282330,0.0018,8,997215.0562,28.55,CO,380
275922,0.2291,3,131.3604,6.7,DV,977
212316,0.0663,3,829.4068,5.5,RB,638
276176,0.0663,3,829.4068,5.5,RB,640
301787,0.0529,4,3167.4845,6.1,RB,578
231148,0.0402,4,3328.8922,8,ST,455
231148,0.0203,4,3328.8922,8,ST,455
212317,0.0947,1,NA,NA,DV,823
6293,0,4,2687.1455,NA,RB,1182
232135,0,4,2687.1455,NA,RB,1182
276756,0.0266,4,2887.1405,9.6,RB,1123
232169,6e-4,8,963922.6766,28.37,CO,403
232169,0.0013,8,963922.6766,28.37,CO,403
232170,6e-4,8,963922.6766,28.37,CO,403
232170,0.0013,8,963922.6766,28.37,CO,403
232171,6e-4,8,963922.6766,28.37,CO,403
232171,0.0013,8,963922.6766,28.37,CO,403
277624,0.0197,4,5073.5303,6.64,DV,919
74129,0,3,1384.5596,3.1,CO,489
74127,0.0087,3,1384.5596,3.1,CO,491
74127,0.0454,3,1384.5596,3.1,CO,491
4914,0,3,1384.5596,NA,RB,529
9719,0,3,1384.5596,NA,RB,529
232163,0,3,1384.5596,NA,RB,529
341987,0,3,1384.5596,NA,RB,529
369709,0,3,1384.5596,NA,RB,529
369872,0,3,1384.5596,NA,RB,529
213482,0.1639,1,NA,NA,DV,982
212362,0.0186,4,3716.1821,10.4,DV,878
288062,6e-4,8,963922.6766,28.37,PK,403
288062,0.0013,8,963922.6766,28.37,PK,403
288063,6e-4,8,963922.6766,28.37,RB,403
288063,0.0013,8,963922.6766,28.37,RB,403
292154,6e-4,8,963922.6766,28.37,CO,403
292154,0.0013,8,963922.6766,28.37,CO,403
292160,6e-4,8,963922.6766,28.37,RB,403
292160,0.0013,8,963922.6766,28.37,RB,403
292163,6e-4,8,963922.6766,28.37,CT,403
292163,0.0013,8,963922.6766,28.37,CT,403
292164,6e-4,8,963922.6766,28.37,DV,403
292164,0.0013,8,963922.6766,28.37,DV,403
292168,6e-4,8,963922.6766,28.37,RB,403
292168,0.0013,8,963922.6766,28.37,RB,403
292171,6e-4,8,963922.6766,28.37,CT,403
292171,0.0013,8,963922.6766,28.37,CT,403
292172,6e-4,8,963922.6766,28.37,DV,403
292172,0.0013,8,963922.6766,28.37,DV,403
292175,6e-4,8,963922.6766,28.37,PK,403
292175,0.0013,8,963922.6766,28.37,PK,403
292178,6e-4,8,963922.6766,28.37,CO,403
292178,0.0013,8,963922.6766,28.37,CO,403
292180,6e-4,8,963922.6766,28.37,DV,403
292180,0.0013,8,963922.6766,28.37,DV,403
421529,6e-4,8,963922.6766,28.37,ST,403
421529,0.0013,8,963922.6766,28.37,ST,403
422469,6e-4,8,963922.6766,28.37,ST,403
422469,0.0013,8,963922.6766,28.37,ST,403
192587,0.0013,8,963922.6766,28.37,ST,403
192587,5e-4,8,963922.6766,28.37,ST,403
233544,0,5,11932.0907,9.26,RB,402
333275,0,5,11932.0907,9.26,ST,402
421527,0,5,11932.0907,9.26,ST,402
422467,0,5,11932.0907,9.26,ST,402
282332,0,8,962791.7409,28.37,CH,405
282332,0.0023,8,962791.7409,28.37,CH,405
282334,0,8,962791.7409,28.37,RB,405
282334,0.0023,8,962791.7409,28.37,RB,405
231150,0.0383,5,11772.9409,9.23,ST,444
231150,0.0206,5,11772.9409,9.23,ST,444
301790,0.0686,3,570.2745,3.77,CT,711
275950,0.0214,3,678.759,2.2,CT,655
275951,0.0156,5,6114.8733,10.6,CT,624
212324,0.0156,5,6114.8733,10.6,CT,626
301798,0,5,11987.4751,15,RB,442
301798,0.0179,5,11987.4751,15,RB,442
301407,0.0186,4,3716.1821,10.4,DV,883
282357,0,8,883236.6608,27.96,CH,481
282357,0.0022,8,883236.6608,27.96,CH,481
282358,0,8,883236.6608,27.96,CO,481
282358,0.0022,8,883236.6608,27.96,CO,481
282361,0,8,883236.6608,27.96,RB,481
282361,0.0022,8,883236.6608,27.96,RB,481
80458,0,2,454.1992,NA,RB,521
301405,0.0152,4,8018.0294,8.82,CT,767
301405,0.0215,4,8018.0294,8.82,CT,767
146089,0.0328,3,2698.7642,5.18,CO,514
146089,0.0289,3,2698.7642,5.18,CO,514
146103,0.0736,3,1227.6228,2.73,RB,517
276258,0.076,2,391.9755,4.09,BT,1222
282349,0,8,879794.1782,27.94,CH,491
282356,0.0013,8,879091.5879,27.94,RB,497
277793,0.0663,3,718.9515,3,RB,804
231182,0.0231,7,119188.1465,18.42,CH,503
231182,0.0265,7,119188.1465,18.42,CH,503
423427,0.0231,7,119188.1465,18.42,ST,503
423427,0.0265,7,119188.1465,18.42,ST,503
423428,0.0231,7,119188.1465,18.42,ST,503
423428,0.0265,7,119188.1465,18.42,ST,503
289188,0.0451,3,792.2954,5.9,CO,442
261686,0.0163,5,10947.7384,10.04,CO,449
261686,0.0049,5,10947.7384,10.04,CO,449
261691,0.0163,5,10947.7384,10.04,ST,449
261691,0.0049,5,10947.7384,10.04,ST,449
261695,0.0083,5,10947.7384,10.04,RB,452
261695,0.0049,5,10947.7384,10.04,RB,452
282335,0.0012,8,959321.4998,28.35,CH,416
282335,0.0014,8,959321.4998,28.35,CH,416
212332,0,3,792.2954,5.9,CT,465
212332,0,3,792.2954,5.9,CT,465
32282,0.0499,3,426.1052,2.36,CO,566
32282,0.019,3,426.1052,2.36,CO,566
50880,0.0499,3,426.1052,2.36,CO,566
50880,0.019,3,426.1052,2.36,CO,566
50869,0.0379,2,316.5375,3.65,CT,655
275962,0.1397,1,NA,NA,CT,758
212321,0.0536,3,452.5522,3.72,CT,701
275973,0,1,NA,NA,CT,701
275968,0.0558,1,NA,NA,CT,709
425382,0.0231,7,119188.1465,18.42,ST,503
425382,0.0265,7,119188.1465,18.42,ST,503
301860,0,1,NA,NA,DV,1108
30102,0.0904,1,NA,NA,BT,1140
4918,0,3,2301.0243,NA,CT,521
4918,0,3,2301.0243,NA,CT,521
315112,0,3,2301.0243,NA,RB,521
315112,0,3,2301.0243,NA,RB,521
318390,0,3,2301.0243,NA,RB,521
318390,0,3,2301.0243,NA,RB,521
330092,0,3,2301.0243,NA,RB,521
330092,0,3,2301.0243,NA,RB,521
335786,0,3,2301.0243,NA,RB,521
335786,0,3,2301.0243,NA,RB,521
336329,0,3,2301.0243,NA,RB,521
336329,0,3,2301.0243,NA,RB,521
336435,0,3,2301.0243,NA,RB,521
336435,0,3,2301.0243,NA,RB,521
341622,0,3,2301.0243,NA,RB,521
341622,0,3,2301.0243,NA,RB,521
360079,0,3,2301.0243,NA,RB,521
360079,0,3,2301.0243,NA,RB,521
361579,0,3,2301.0243,NA,RB,521
361579,0,3,2301.0243,NA,RB,521
368826,0,3,2301.0243,NA,RB,521
368826,0,3,2301.0243,NA,RB,521
373051,0,3,2301.0243,NA,RB,521
373051,0,3,2301.0243,NA,RB,521
375833,0,3,2301.0243,NA,RB,521
375833,0,3,2301.0243,NA,RB,521
377351,0,3,2301.0243,NA,RB,521
377351,0,3,2301.0243,NA,RB,521
397928,0,3,2301.0243,NA,RB,521
397928,0,3,2301.0243,NA,RB,521
398234,0,3,2301.0243,NA,RB,521
398234,0,3,2301.0243,NA,RB,521
398236,0,3,2301.0243,NA,RB,521
398236,0,3,2301.0243,NA,RB,521
398334,0,3,2301.0243,NA,RB,521
398334,0,3,2301.0243,NA,RB,521
398376,0,3,2301.0243,NA,RB,521
398376,0,3,2301.0243,NA,RB,521
192472,0.0048,8,758635.7901,27.32,ST,505
192472,0,8,758635.7901,27.32,ST,505
231200,0.01,4,10733.0181,9.28,CT,708
277757,0,3,3498.7875,4.1,CO,521
277761,0,3,3498.7875,4.1,SK,521
260396,0,3,3498.7875,4.1,RB,506
276276,0.0397,3,841.1509,6.7,BT,1053
282365,0.0025,8,754936.8132,27.3,CH,507
30130,0.2228,2,194.2728,2.95,DV,715
203849,0.0476,3,1590.9526,2.3,CO,531
203849,0.0416,3,1590.9526,2.3,CO,531
282369,0,8,752465.9499,27.28,RB,508
282369,0,8,752465.9499,27.28,RB,508
234842,0,4,747924.3969,27.25,CT,508
234842,0.0022,4,747924.3969,27.25,CT,508
276271,0.0479,2,158.5613,3.6,DV,973
276272,0.0479,2,158.5613,3.6,DV,973
212382,0.1882,2,158.5613,3.6,BT,989
231203,0.0268,4,12415.0996,9.57,PK,646
105798,0.0732,1,NA,NA,DV,1101
277730,0.0576,3,1677.3168,4,CT,632
231400,0.0483,4,4140.626,3.67,CO,517
231400,0.0107,4,4140.626,3.67,CO,517
213516,0.0508,4,993.0117,4.02,CT,709
260381,0.0303,6,18569.5055,14.3,DV,556
260381,0.0178,6,18569.5055,14.3,DV,556
260382,0.0303,6,18569.5055,14.3,RB,556
260382,0.0178,6,18569.5055,14.3,RB,556
5058,0,1,NA,NA,RB,583
5337,0,1,NA,NA,RB,583
5338,0,1,NA,NA,CT,583
312869,0,1,NA,NA,RB,583
314537,0,1,NA,NA,RB,583
317167,0,1,NA,NA,RB,583
320190,0,1,NA,NA,CT,583
330068,0,1,NA,NA,RB,583
332668,0,1,NA,NA,CT,583
338638,0,1,NA,NA,CT,583
340482,0,1,NA,NA,CT,583
340643,0,1,NA,NA,CT,583
345318,0,1,NA,NA,RB,583
347611,0,1,NA,NA,RB,583
348709,0,1,NA,NA,CT,583
353381,0,1,NA,NA,RB,583
362644,0,1,NA,NA,RB,583
364360,0,1,NA,NA,CT,583
368064,0,1,NA,NA,RB,583
373638,0,1,NA,NA,CT,583
376313,0,1,NA,NA,CT,583
30127,0.1067,2,429.4994,1.53,DV,627
276260,0.0306,4,4997.7647,5.3,BT,923
282376,0.0035,8,746408.7559,NA,CH,514
282376,0.0049,8,746408.7559,NA,CH,514
276514,0.0842,3,567.761,3.63,RB,902
30145,0.0967,3,1032.1038,3.39,RB,613
231195,0.0238,5,6059.3522,8.33,DV,611
233345,0.0499,4,2728.2915,2.7,DV,660
30090,0.0622,2,255.3313,1.73,DV,848
231136,0,8,738826.5124,27.19,CT,520
301394,0.0059,7,74475.0961,16.97,CO,687
301394,0.0019,7,74475.0961,16.97,CO,687
301395,0.0059,7,74475.0961,16.97,DV,687
301395,0.0019,7,74475.0961,16.97,DV,687
301397,0.0059,7,74475.0961,16.97,ST,687
301397,0.0019,7,74475.0961,16.97,ST,687
276282,0.0529,3,1003.4786,9.6,DV,754
301417,0.0365,5,3917.0447,23.25,DV,750
30157,0.1143,4,2573.5168,9.32,DV,851
277873,0.0468,2,230.098,1.75,CO,629
277874,0.0468,2,230.098,1.75,CT,629
276521,0.0683,3,1085.2251,4.6,DV,879
167908,0.0161,5,4521.6705,4.2,RB,530
167913,0.0161,5,4521.6705,4.2,RB,530
167919,0.0161,5,4521.6705,4.2,RB,530
52519,0.0199,4,5890.714,13.05,RB,1022
46451,0.0381,4,1282.7868,3.43,RB,839
35567,0,1,NA,NA,RB,894
38559,0.0316,1,NA,NA,RB,1033
38600,0.0687,2,157.1134,1.5,RB,1036
52291,0.0364,2,81.1596,1.66,RB,1335
204148,0.0454,2,139.1896,1.64,RB,889
52290,0.0618,2,45.2146,1.47,RB,1294
285663,0.0364,5,3768.9722,5.54,RB,862
52289,0.0318,2,273.8886,2.18,RB,1280
332809,0,2,247.7774,NA,RB,1291
346601,0,2,247.7774,NA,RB,1291
364181,0,2,247.7774,NA,RB,1291
204149,0.0601,1,NA,NA,RB,891
46456,0.0389,2,566.6811,NA,RB,836
187380,0.0301,2,566.6811,NA,RB,849
292587,0.0038,5,27530.2398,10.95,RB,909
187343,0.0751,2,203.6434,1.82,RB,952
46457,0.0148,3,1158.6598,2.71,RB,901
187347,0.004,2,241.0134,2.04,RB,908
38573,0.0454,3,798.5163,2.72,RB,937
38590,0.008,3,5792.5309,7.58,RB,925
70584,0.0234,3,5560.24,5.95,RB,929
94938,0.0234,3,5560.24,5.95,RB,929
203950,0.0234,3,5560.24,5.95,RB,929
203948,0.0067,3,5560.24,5.95,RB,931
171181,0.0067,3,5560.24,5.95,RB,932
70102,0.0067,3,5560.24,5.95,RB,932
295141,0.0403,2,518.0999,1.7,RB,875
38638,0.0715,2,213.0716,3.21,RB,1144
271533,0.1145,4,885.8806,6.7,DV,879
302407,0.0365,5,4549.6731,7,DV,580
234641,0,2,501.5151,NA,CT,466
306025,0,2,501.5151,NA,CT,466
234657,0.019,6,17257.0219,13.5,RB,477
212249,0.0417,2,43.0393,2.28,DV,1149
234640,0.012,3,2212.0955,4.95,RB,340
302389,0.0026,6,99949.7877,17.14,CT,424
302389,0.0056,6,99949.7877,17.14,CT,424
302397,0.0053,5,15502.8888,11.7,CT,479
302397,0.0168,5,15502.8888,11.7,CT,479
302402,0.0053,5,15502.8888,11.7,ST,479
302402,0.0168,5,15502.8888,11.7,ST,479
234915,0.01,6,93225.3474,16.83,CH,479
234917,0.01,6,93225.3474,16.83,ST,479
234664,0,6,77591.9319,15.89,PK,479
234664,0,6,77591.9319,15.89,PK,479
234668,0,6,77591.9319,15.89,ST,479
234668,0,6,77591.9319,15.89,ST,479
234669,0,6,77591.9319,15.89,ST,479
234669,0,6,77591.9319,15.89,ST,479
234672,0,6,77591.9319,15.89,ST,479
234672,0,6,77591.9319,15.89,ST,479
337952,0,6,77591.9319,15.89,ST,479
337952,0,6,77591.9319,15.89,ST,479
302384,0.0113,7,125222.6757,25,PK,406
302386,0.0113,7,125222.6757,25,ST,406
271530,0.067,4,1601.0758,7.7,DV,426
261816,0.067,4,1601.0758,7.7,DV,433
261816,0.1156,4,1601.0758,7.7,DV,433
302371,0.0083,7,127499.8376,18.74,CH,366
302371,0.0074,7,127499.8376,18.74,CH,366
302372,0.0083,7,127499.8376,18.74,CO,366
302372,0.0074,7,127499.8376,18.74,CO,366
302373,0.0083,7,127499.8376,18.74,CT,366
302373,0.0074,7,127499.8376,18.74,CT,366
212248,0.0243,3,982.6936,5.68,DV,1125
5495,0.024,1,NA,NA,RB,404
234644,0.024,1,NA,NA,RB,404
312470,0.024,1,NA,NA,RB,404
318941,0.024,1,NA,NA,RB,404
321862,0.024,1,NA,NA,RB,404
323405,0.024,1,NA,NA,RB,404
326162,0.024,1,NA,NA,RB,404
331365,0.024,1,NA,NA,RB,404
332435,0.024,1,NA,NA,RB,404
335907,0.024,1,NA,NA,RB,404
346400,0.024,1,NA,NA,RB,404
367740,0.024,1,NA,NA,RB,404
369499,0.024,1,NA,NA,RB,404
369804,0.024,1,NA,NA,RB,404
212232,0.0469,3,427.6971,3.31,DV,517
212232,0.0449,3,427.6971,3.31,DV,517
277512,0.0601,3,427.6971,3.31,RB,548
277512,0.0449,3,427.6971,3.31,RB,548
286557,0.0584,2,782.8401,2.56,DV,292
234911,0.0026,7,131085.5065,18.83,CH,315
234911,0.0097,7,131085.5065,18.83,CH,315
234914,0.0026,7,131085.5065,18.83,ST,315
234914,0.0097,7,131085.5065,18.83,ST,315
234918,0.0097,7,131085.5065,18.83,CH,317
234918,0.0043,7,131085.5065,18.83,CH,317
302365,0.0089,7,131085.5065,18.83,CT,318
302368,0.0089,7,131085.5065,18.83,PK,318
302369,0.0089,7,131085.5065,18.83,RB,318
243017,0.1125,4,2912.1592,5.63,DV,215
243018,0.1125,4,2912.1592,5.63,RB,215
275335,0.0408,4,2912.1592,5.63,CO,226
234638,0.041,4,2912.1592,5.63,PK,239
288116,0.041,4,2912.1592,5.63,DV,257
234924,0.0024,7,131085.5065,18.83,ST,310
288119,0.0345,4,2861.4676,5.1,CO,290
288119,0.034,4,2861.4676,5.1,CO,290
212247,0.024,3,289.7491,2.4,RB,848
276283,0.2344,2,133.0865,2.08,DV,758
231194,0.0344,5,4126.0268,8.34,ST,889
231194,0.0296,5,4126.0268,8.34,ST,889
276562,0.0851,2,186.6765,5.69,DV,737
301400,0.02,5,9434.2276,9.47,DV,787
276384,0.023,5,3916.7828,9.3,BT,899
260397,0.021,4,9571.5821,8.37,CO,535
260397,0.0101,4,9571.5821,8.37,CO,535
212359,0.042,3,337.242,0.7,DV,864
301409,0.0119,6,22470.3304,32.5,CO,722
301409,0.0177,6,22470.3304,32.5,CO,722
301410,0.0119,6,22470.3304,32.5,CT,722
301410,0.0177,6,22470.3304,32.5,CT,722
301411,0.0119,6,22470.3304,32.5,DV,722
301411,0.0177,6,22470.3304,32.5,DV,722
276403,0.0536,4,1620.6063,6.45,ST,908
276403,0.0637,4,1620.6063,6.45,ST,908
