channel_width_id,stream_sample_site_ids,stream_crossing_ids,wscode_ltree,localcode_ltree,watershed_group_code,stream_order,stream_magnitude,gradient,upstream_area_ha,upstream_lake_ha,upstream_reservoir_ha,upstream_wetland_ha,channel_width_measured,map
62,,{8240},100.190442.244975.285560.698698,100.190442.244975.285560.698698,LNIC,3,21,0.0655,654.5691,3.16,0,18.98,2,417
63,,{197019},100.190442.244975.314624,100.190442.244975.314624.230520,LNIC,3,16,0.0554,1669.9942,3.58,0,0,2.2,370
64,,"{197042,197043,197044,197041}",100.190442.244975.337574.043311,100.190442.244975.337574.043311.006132,LNIC,4,68,0.05,4844.573,76.46,0,57.25,1.73,349
65,,{197045},100.190442.244975.337574.043311.006132,100.190442.244975.337574.043311.006132,LNIC,3,5,0.0568,241.9809,0,0,0,0.5,317
66,,{197039},100.190442.244975.337574.178289,100.190442.244975.337574.178289,LNIC,3,16,0.02565,2786.4798,1.36,0,3.78,2.2,384
67,,{197010},100.190442.244975.337574.178289.371569,100.190442.244975.337574.178289.371569,LNIC,2,5,0.0872,689.1631,0.26,0,3.78,3,545
68,,{197038},100.190442.244975.337574.193638,100.190442.244975.337574.193638.012043,LNIC,2,3,0.1405,93.7428,0,0,0,1.5,539
69,,{197027},100.190442.244975.337574.277850,100.190442.244975.337574.277850.020322,LNIC,2,10,0.0737,677.2923,0,0,0.14,1.8,513
70,,{197013},100.190442.244975.337574.284252,100.190442.244975.337574.284252,LNIC,5,98,0.01813333333333333,8575.6522,17.54,0,59.54,3.2,502
71,,{197036},100.190442.244975.337574.284252,100.190442.244975.337574.284252.518268,LNIC,4,23,0.0396,2315.561,1.9,0,11.07,3.2,540
72,,{197020},100.190442.244975.337574.284252,100.190442.244975.337574.284252.786191,LNIC,4,14,0.0322,1018.6139,0.24,0,0,2.7,553
73,,{197021},100.190442.244975.337574.284252,100.190442.244975.337574.284252.791011,LNIC,3,7,0.0584,505.785,0,0,0,2,553
74,,{197024},100.190442.244975.337574.284252.347953,100.190442.244975.337574.284252.347953.042313,LNIC,3,16,0.004075,1250.4767,3.7,0,25.09,2.4,515
75,,{197025},100.190442.244975.337574.284252.347953.040252,100.190442.244975.337574.284252.347953.040252.047656,LNIC,3,5,0.04345,370.9406,0,0,21.46,1.2,542
76,"{44597,44598,44596}",,100.190442.244975.337574.389845,100.190442.244975.337574.389845,LNIC,3,13,0.08355,1113.6871,22.83,0,0,1.17,668
77,,{196965},100.190442.244975.337574.389845,100.190442.244975.337574.389845.222514,LNIC,3,11,0.0867,965.5757,22.83,0,0,2.7,737
78,{53572},,100.190442.244975.337574.397497,100.190442.244975.337574.397497.683277,LNIC,3,12,0.018549999999999997,1443.7002,0.15,0,89.7,3.19,578
79,,{196995},100.190442.244975.337574.397497,100.190442.244975.337574.397497.814892,LNIC,3,8,0.0111,581.17,0.15,0,5.24,2.2,598
80,{44156},{197002},100.190442.244975.337574.397497.158042,100.190442.244975.337574.397497.158042,LNIC,3,23,0.0813,2487.8759,0.25,0,13.17,3.6,616
81,,{197008},100.190442.244975.337574.397497.214143,100.190442.244975.337574.397497.214143,LNIC,3,20,0.13935,616.4606,3.29,0,70.99,3.1,641
82,,{197006},100.190442.244975.337574.397497.360865,100.190442.244975.337574.397497.360865.447644,LNIC,3,5,0.024,278.8175,14.24,0,0.22,1.4,720
83,,{197001},100.190442.244975.337574.397497.402669,100.190442.244975.337574.397497.402669,LNIC,2,2,0.027700000000000002,252.0867,0,0,74.87,1.5,589
84,,{196997},100.190442.244975.337574.397497.475300,100.190442.244975.337574.397497.475300,LNIC,4,44,0.010733333333333333,4676.1619,41.83,0,113.52,3.1,584
85,,{197011},100.190442.244975.337574.397497.475300,100.190442.244975.337574.397497.475300.569505,LNIC,4,27,0.0174,2226.8732,39.1,0,58.82,2.8,620
86,,{196996},100.190442.244975.337574.397497.571857,100.190442.244975.337574.397497.571857,LNIC,2,4,0.02154,427.6697,0,0,84.35,1.9,585
87,,{196999},100.190442.244975.337574.397497.622199,100.190442.244975.337574.397497.622199.238279,LNIC,3,8,0.0111,868.9826,16.8,0,4.95,1,608
88,,{197000},100.190442.244975.337574.397497.622199.406299,100.190442.244975.337574.397497.622199.406299.072245,LNIC,2,3,0.0806,266.7151,0,0,0.79,1.1,613
89,,{196994},100.190442.244975.337574.397497.683277,100.190442.244975.337574.397497.683277.073597,LNIC,4,43,0.008825,4620.1681,98.12,17.82,67.64,2.4,575
90,,{196993},100.190442.244975.337574.397497.683277,100.190442.244975.337574.397497.683277.204629,LNIC,4,41,0.008433333333333334,3881.4449,92.48,0,62.28,2.4,570
91,,{196991},100.190442.244975.337574.397497.683277,100.190442.244975.337574.397497.683277.380880,LNIC,4,30,0.00995,2604.0968,52.41,0,40.86,2,558
92,,{196989},100.190442.244975.337574.397497.683277,100.190442.244975.337574.397497.683277.403350,LNIC,4,23,0,2169.0348,52.41,0,40.86,1.6,554
93,{53476},,100.190442.244975.337574.397497.683277.272586,100.190442.244975.337574.397497.683277.272586.389687,LNIC,2,4,0.1188,274.4803,0,0,0,1.25,591
94,{53535},,100.190442.244975.337574.397497.683277.278785,100.190442.244975.337574.397497.683277.278785,LNIC,1,1,0.025714285714285714,0,6.17,0,12.28,3.15,573
95,,"{196992,196990}",100.190442.244975.337574.397497.683277.380880,100.190442.244975.337574.397497.683277.380880,LNIC,2,2,0.019033333333333333,97.608,29.1,0,0,1.05,560
96,{70267},,100.190442.244975.337574.397497.683277.380880,100.190442.244975.337574.397497.683277.380880.702195,LNIC,1,1,0.2488,0,0,0,0,0.5,579
97,{53536},,100.190442.244975.337574.397497.683277.403350,100.190442.244975.337574.397497.683277.403350,LNIC,3,7,0.01195,355.3077,5.99,0,0,0.87,559
98,{53537},,100.190442.244975.337574.397497.683277.403350,100.190442.244975.337574.397497.683277.403350.457116,LNIC,1,1,0.0624,0,0,0,0,5.2,590
99,,{196988},100.190442.244975.337574.397497.683277.513713,100.190442.244975.337574.397497.683277.513713,LNIC,3,6,0.0232,265.0783,11.81,0,2.22,1.1,553
100,{53486},,100.190442.244975.337574.397497.683277.513713,100.190442.244975.337574.397497.683277.513713.389713,LNIC,3,5,0.04135,165.3893,2.24,0,2.22,1.36,576
101,{53578},,100.190442.244975.337574.397497.910752,100.190442.244975.337574.397497.910752,LNIC,2,2,0.029633333333333334,67.5019,0,0,0.39,1.82,603
102,{53544},,100.190442.244975.337574.493036,100.190442.244975.337574.493036.317715,LNIC,2,4,0.0949,453.9622,0.1,0,6.23,3.05,819
103,"{44765,53545}",,100.190442.244975.337574.493036.362984,100.190442.244975.337574.493036.362984,LNIC,2,2,0.1484,139.0858,0,0,5.97,1.77,856
104,{37511},,100.190442.244975.337574.510981,100.190442.244975.337574.510981.328822,LNIC,3,42,0.0498,2772.6538,29.45,0,18.86,4.92,902
105,{37512},,100.190442.244975.337574.510981,100.190442.244975.337574.510981.531431,LNIC,3,26,0.0716,1577.5571,29.45,0,18.86,4.64,1028
106,{37513},,100.190442.244975.337574.510981,100.190442.244975.337574.510981.900177,LNIC,2,5,0.00235,203.585,1.11,0,1.96,5.35,1354
107,{37514},{196958},100.190442.244975.337574.510981.079800,100.190442.244975.337574.510981.079800,LNIC,2,3,0.1073,128.0403,0,0,1.08,0.88,821
108,{37515},{196959},100.190442.244975.337574.510981.144820,100.190442.244975.337574.510981.144820,LNIC,2,2,0.1452,124.2197,0,0,1.48,0.38,831
109,{37516},,100.190442.244975.337574.510981.356258,100.190442.244975.337574.510981.356258,LNIC,1,1,0.1492,0,0,0,0,0.83,932
110,{37494},,100.190442.244975.337574.510981.423142,100.190442.244975.337574.510981.423142,LNIC,2,2,0.1776,80.792,0,0,0,1.02,975
111,{37496},,100.190442.244975.337574.510981.439479,100.190442.244975.337574.510981.439479.681399,LNIC,1,1,0.1609,0,0,0,0,0.92,995
112,{37517},,100.190442.244975.337574.510981.746106,100.190442.244975.337574.510981.746106,LNIC,2,3,0.016133333333333333,264.5474,27.19,0,1.4,1.38,1206
113,{53546},,100.190442.244975.337574.532855,100.190442.244975.337574.532855,LNIC,3,8,0.06375,505.5872,0,0,0,3.6,898
114,{70268},,100.190442.244975.337574.532855,100.190442.244975.337574.532855.321830,LNIC,2,5,0.1383,242.0244,0,0,0,6.43,986
115,{53527},,100.190442.244975.337574.541900,100.190442.244975.337574.541900.549691,LNIC,2,2,0.0782,101.7491,1.07,0,0,5.23,1020
116,{53528},,100.190442.244975.337574.541900,100.190442.244975.337574.541900.774824,LNIC,1,1,0.08955,0,1.07,0,0,1.38,1063
117,,{196966},100.190442.244975.337574.653239,100.190442.244975.337574.653239,LNIC,2,3,0.01425,662.3298,4.09,0,4.61,2.9,1170
118,"{53547,53547}","{196967,196697}",100.190442.244975.337574.653239,100.190442.244975.337574.653239.073875,LNIC,2,2,0.04186666666666666,481.4515,4.09,0,4.61,2.67,1144
119,{53529},,100.190442.244975.337574.653239,100.190442.244975.337574.653239.388334,LNIC,1,1,0.01344,0,4.09,0,3.15,15,1105
120,{37518},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.046628,LNIC,4,43,0.0172,6423.2666,8.52,0,0,19.67,1243
121,{37519},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.260879,LNIC,4,39,0.0196,5522.4676,6.56,0,0,15.98,1393
122,{37520},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.362618,LNIC,4,35,0.0266,4489.1725,5.65,0,0,19.67,1543
123,{37521},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.480844,LNIC,3,19,0.0445,2461.5045,3.3,0,0,12.33,1572
124,{37522},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.813934,LNIC,2,3,0.1039,179.5408,0,0,0,5.95,1820
125,{37524},,100.190442.244975.337574.668134.046299,100.190442.244975.337574.668134.046299.413790,LNIC,3,19,0.0664,852.1294,2.52,0,3.94,12,1596
126,{37525},,100.190442.244975.337574.668134.046299.225153,100.190442.244975.337574.668134.046299.225153,LNIC,2,2,0.1211,308.3075,1.03,0,0,16.5,1568
127,,{196940},100.190442.244975.337574.668134.046628,100.190442.244975.337574.668134.046628,LNIC,1,1,0.054,0,0,0,0,2.1,1161
128,{37508},,100.190442.244975.337574.668134.461153,100.190442.244975.337574.668134.461153.876153,LNIC,1,1,0.04885,0,0.08,0,0,0.57,1668
129,{37527},,100.190442.244975.337574.668134.480844,100.190442.244975.337574.668134.480844.501061,LNIC,3,9,0.0392,435.8378,0,0,0,3.68,1945
130,{37528},,100.190442.244975.337574.668134.612760,100.190442.244975.337574.668134.612760,LNIC,2,2,0.1377,102.3302,0,0,0,0.47,1759
131,{37529},,100.190442.244975.337574.668134.651882,100.190442.244975.337574.668134.651882,LNIC,2,2,0.0954,388.0948,2.18,0,0,4.53,1654
132,{37530},,100.190442.244975.337574.668134.651882,100.190442.244975.337574.668134.651882.381249,LNIC,1,1,0.07493333333333334,0,1.91,0,0,2.78,1689
133,{37531},,100.190442.244975.337574.668134.745096,100.190442.244975.337574.668134.745096,LNIC,2,2,0.1773,44.3675,0,0,0,1.02,1677
134,{37532},,100.190442.244975.337574.668134.807409,100.190442.244975.337574.668134.807409,LNIC,2,2,0.1356,79.8403,1.12,0,0,0.33,1768
135,,{196942},100.190442.244975.337574.762161,100.190442.244975.337574.762161,LNIC,4,31,0.0228,1292.1888,4.27,0,0.91,6.7,1332
136,,{196946},100.190442.244975.337574.886129,100.190442.244975.337574.886129,LNIC,2,2,0.1494,47.6138,0,0,0,3.5,1710
137,{51942},,100.190442.244975.337574.905806,100.190442.244975.337574.905806.537337,LNIC,2,7,0.02305,307.5753,10.82,0,0.82,6.63,2020
138,{51943},,100.190442.244975.337574.905806,100.190442.244975.337574.905806.628724,LNIC,2,5,0.009666666666666667,204.3708,10.62,0,0.82,2.84,2036
139,{44430},,100.190442.244975.419137.498537,100.190442.244975.419137.498537.717445,LNIC,1,1,0.0803,0,0,0,0,3.18,457
140,{44431},,100.190442.244975.419137.498537.717445,100.190442.244975.419137.498537.717445,LNIC,1,1,0.042100000000000005,0,0,0,2.51,0.82,452
141,,{7883},100.190442.244975.463869,100.190442.244975.463869.624867,LNIC,4,95,0.005016666666666667,4474.6468,125.98,0,69.77,3.8,473
142,,{8246},100.190442.244975.463869.600027.081574,100.190442.244975.463869.600027.081574.060674,LNIC,2,3,0.0391,134.7798,0,0,1.06,0.5,473
143,,{8245},100.190442.244975.463869.614928,100.190442.244975.463869.614928,LNIC,2,3,0.0316,91.9582,0,0,0,0.7,473
144,"{44760,44759}",,100.190442.244975.540845,100.190442.244975.540845.896514,LNIC,3,7,0.0569,492.5369,47.65,0,9.03,0.91,499
145,{37859},,100.190442.244975.540845.227619,100.190442.244975.540845.227619,LNIC,4,69,0.05785,5759.0694,172.33,0,29.8,1.38,302
146,{37860},,100.190442.244975.540845.227619,100.190442.244975.540845.227619.104992,LNIC,4,64,0.0802,5075.3486,172.33,0,27.76,1.73,323
147,{37861},,100.190442.244975.540845.227619,100.190442.244975.540845.227619.746098,LNIC,3,18,0.0482,1233.594,45.08,0,17.18,2.25,479
148,{37867},,100.190442.244975.540845.227619.746098,100.190442.244975.540845.227619.746098,LNIC,2,3,0.02615,263.835,0.29,0,0.75,3.67,467
149,"{37870,37869}",,100.190442.244975.540845.227619.862491,100.190442.244975.540845.227619.862491.192606,LNIC,1,1,0.028100000000000003,0,3.94,0,0.6,0.68,520
150,{37828},,100.190442.244975.540845.227619.994432.210485,100.190442.244975.540845.227619.994432.210485,LNIC,1,1,0.01765,0,0,0,1.06,0.71,483
151,,{124257},100.458399.638146.031407,100.458399.638146.031407.571206,HORS,1,1,0.036533333333333334,0,1.38,0,127.25,2.29,592
152,,{124258},100.458399.638146.042682,100.458399.638146.042682,HORS,1,1,0.016566666666666667,0,0.12,0,11.07,1.23,595
153,,{124259},100.458399.638146.051012,100.458399.638146.051012,HORS,2,2,0.035350000000000006,84.033,0,0,0,0.97,592
154,,{124261},100.458399.638146.075916,100.458399.638146.075916.321969,HORS,2,4,0.0068727272727272725,170.5228,2.21,0,12.96,1.22,592
155,,"{126578,126586}",100.458399.638146.094050,100.458399.638146.094050.695382,HORS,2,2,0.0086,39.7287,0.32,0,4.96,1.5,604
156,,{126588},100.458399.638146.094050,100.458399.638146.094050.949932,HORS,1,1,0.03846666666666667,0,0,0,0.84,0.63,610
157,,{126573},100.458399.638146.094050.442238,100.458399.638146.094050.442238,HORS,3,6,0.013875,285.5742,10.39,0,7.21,1.4,604
158,,{126576},100.458399.638146.094050.442238,100.458399.638146.094050.442238.755224,HORS,1,1,0.0372,0,0,0,0,0.53,614
159,,{126590},100.458399.638146.094050.442238.260257,100.458399.638146.094050.442238.260257,HORS,2,2,0.02195,61.5169,1.01,0,0.85,1.84,610
160,,{126574},100.458399.638146.094050.442238.260257.569274,100.458399.638146.094050.442238.260257.569274,HORS,1,1,0.004600000000000001,0,1.01,0,0.85,0.67,610
161,,{126575},100.458399.638146.094050.442238.538697,100.458399.638146.094050.442238.538697,HORS,1,1,0.04085,0,5.58,0,0,0.63,612
162,,{126577},100.458399.638146.094050.695382,100.458399.638146.094050.695382,HORS,1,1,0.006179999999999998,0,0,0,2.2,1.57,603
163,,{126511},100.458399.638146.108023,100.458399.638146.108023.530231,HORS,3,10,0.005299999999999999,783.371,6.46,0,32.41,1.67,574
164,,{125961},100.458399.638146.108023.122449.180538,100.458399.638146.108023.122449.180538,HORS,1,1,0.0227,0,0,0,0,0.8,574
165,,{126510},100.458399.638146.108023.681400,100.458399.638146.108023.681400,HORS,2,2,0.011266666666666666,118.8979,0,0,27.79,0.97,575
166,,{126512},100.458399.638146.108023.681400,100.458399.638146.108023.681400.564354,HORS,1,1,0.069,0,0,0,0,0.57,578
167,,{126513},100.458399.638146.108023.850628,100.458399.638146.108023.850628,HORS,1,1,0.0571,0,0,0,0,0.63,576
168,,{126572},100.458399.638146.120053,100.458399.638146.120053,HORS,2,2,0.022299999999999997,38.6183,2.53,0,3.96,1,588
169,,{126570},100.458399.638146.120053.735884,100.458399.638146.120053.735884,HORS,1,1,0.0484,0,0,0,0,0.97,593
170,,{124265},100.458399.638146.121591,100.458399.638146.121591,HORS,1,1,0.03685,0,0,0,0,0.6,581
171,,{124267},100.458399.638146.127974,100.458399.638146.127974,HORS,1,1,0.019433333333333334,0,40.72,0,1.59,0.75,578
172,"{46980,46980,46981,46981}","{126603,126568,126603,126568}",100.458399.638146.142627,100.458399.638146.142627.015839,HORS,1,1,0.015133333333333334,0,27.96,0,0.28,2.37,593
173,,"{126604,126605}",100.458399.638146.143166,100.458399.638146.143166,HORS,1,1,0.013966666666666667,0,0.49,0,0,0.67,582
174,,{57204},100.458399.638146.160656,100.458399.638146.160656.877795,HORS,3,18,0.05784285714285714,707.3536,14.33,0,9.7,3.26,989
175,,{57603},100.458399.638146.160656.002642,100.458399.638146.160656.002642,HORS,1,1,0.004716666666666667,0,7.14,0,8.41,0.42,577
176,,"{57601,124253,124254}",100.458399.638146.160656.011715,100.458399.638146.160656.011715.037715,HORS,3,5,0.00634,1021.565,30.01,0,29,1.52,572
177,"{46975,46976}","{126594,126594}",100.458399.638146.160656.051494,100.458399.638146.160656.051494.811334,HORS,2,3,0.00885,579.711,68.83,0,14.15,2.67,619
178,,"{126601,126600}",100.458399.638146.160656.051494.547943.295279,100.458399.638146.160656.051494.547943.295279,HORS,1,1,0.0722,0,0,0,0.27,0.58,610
179,,{126596},100.458399.638146.160656.051494.664679,100.458399.638146.160656.051494.664679.566829,HORS,1,1,0.0116,0,6.15,0,3.92,1.43,621
180,{46977},{126593},100.458399.638146.160656.051494.769901,100.458399.638146.160656.051494.769901.240712,HORS,2,4,0.0066363636363636356,275.9218,66.41,0,20.5,1.53,618
181,,{126565},100.458399.638146.160656.051494.769901,100.458399.638146.160656.051494.769901.756229,HORS,1,1,0.014633333333333333,0,29.29,0,2.84,0.97,617
182,,{126595},100.458399.638146.160656.051494.811334.206232,100.458399.638146.160656.051494.811334.206232,HORS,1,1,0.0378,0,0,0,0,0.67,625
183,,{126564},100.458399.638146.160656.051494.935388,100.458399.638146.160656.051494.935388,HORS,1,1,0.004733333333333333,0,68.83,0,12.81,0.48,627
184,,"{124252,124251}",100.458399.638146.160656.053114,100.458399.638146.160656.053114,HORS,1,1,0.01065,0,28.49,0,2.55,0.95,579
