channel_width_id,stream_sample_site_ids,stream_crossing_ids,wscode_ltree,localcode_ltree,watershed_group_code,stream_order,stream_magnitude,gradient,upstream_area_ha,upstream_lake_ha,upstream_reservoir_ha,upstream_wetland_ha,channel_width_measured,map,Exclude,Reason
34,{14136},,100.190442.244975.232973.504304.479898.572743.378382,100.190442.244975.232973.504304.479898.572743.378382,LNIC,1,1,0.1305,0,0,0,0,4,1417,,
35,,{196977},100.190442.244975.232973.504304.551499,100.190442.244975.232973.504304.551499.045671,LNIC,2,3,0.1137,258.2385,0,0,3.22,2.5,1052,,
36,{14147},,100.190442.244975.232973.590298,100.190442.244975.232973.590298.584530,LNIC,2,8,0.0825,284.2064,3.4,0,0,2.9,1193,,
37,{14148},,100.190442.244975.232973.590298,100.190442.244975.232973.590298.664969,LNIC,2,7,0.027,173.0778,2.32,0,0,2.9,1204,,
38,,{196986},100.190442.244975.232973.590298.253253,100.190442.244975.232973.590298.253253.413283,LNIC,2,7,0.022,628.8109,1.17,0,24.18,2.7,1050,,
39,,{196987},100.190442.244975.232973.590298.253253.333294,100.190442.244975.232973.590298.253253.333294,LNIC,2,2,0.0654,150.0027,0,0,0,2.2,1050,,
40,"{14145,14168}",,100.190442.244975.232973.590298.529741,100.190442.244975.232973.590298.529741,LNIC,3,12,0.0865,632.995,3.35,0,0,2.45,1174,,
41,,{197030},100.190442.244975.232973.697646,100.190442.244975.232973.697646,LNIC,2,2,0.2371,71.9666,0.8,0,0,1.9,958,,
42,,{197031},100.190442.244975.232973.802481,100.190442.244975.232973.802481,LNIC,2,2,0.0241,78.3242,0,0,0,2,1088,,
43,,{8239},100.190442.244975.285560,100.190442.244975.285560.698698,LNIC,3,14,0.0891,827.1219,9.1,0,17,2,417,,
44,,{8240},100.190442.244975.285560.698698,100.190442.244975.285560.698698,LNIC,3,21,0.0655,654.5691,3.16,0,18.98,2,417,,
45,,{197019},100.190442.244975.314624,100.190442.244975.314624.230520,LNIC,3,16,0.0554,1669.9942,3.58,0,0,2.2,370,,
46,,"{197043,197042,197041,197044}",100.190442.244975.337574.043311,100.190442.244975.337574.043311.006132,LNIC,4,68,0.05,4844.573,76.46,0,57.25,1.73,349,,
47,,{197045},100.190442.244975.337574.043311.006132,100.190442.244975.337574.043311.006132,LNIC,3,5,0.0568,241.9809,0,0,0,0.5,317,,
48,,{197039},100.190442.244975.337574.178289,100.190442.244975.337574.178289,LNIC,3,16,0.02565,2786.4798,1.36,0,3.78,2.2,384,,
49,,{197010},100.190442.244975.337574.178289.371569,100.190442.244975.337574.178289.371569,LNIC,2,5,0.0872,689.1631,0.26,0,3.78,3,545,,
50,,{197038},100.190442.244975.337574.193638,100.190442.244975.337574.193638.012043,LNIC,2,3,0.1405,93.7428,0,0,0,1.5,539,,
51,,{197027},100.190442.244975.337574.277850,100.190442.244975.337574.277850.020322,LNIC,2,10,0.0737,677.2923,0,0,0.14,1.8,513,,
52,,{197013},100.190442.244975.337574.284252,100.190442.244975.337574.284252,LNIC,5,98,0.018133333,8575.6522,17.54,0,59.54,3.2,502,,
53,,{197036},100.190442.244975.337574.284252,100.190442.244975.337574.284252.518268,LNIC,4,23,0.0396,2315.561,1.9,0,11.07,3.2,540,,
54,,{197020},100.190442.244975.337574.284252,100.190442.244975.337574.284252.786191,LNIC,4,14,0.0322,1018.6139,0.24,0,0,2.7,553,,
55,,{197021},100.190442.244975.337574.284252,100.190442.244975.337574.284252.791011,LNIC,3,7,0.0584,505.785,0,0,0,2,553,,
56,,{197024},100.190442.244975.337574.284252.347953,100.190442.244975.337574.284252.347953.042313,LNIC,3,16,0.004075,1250.4767,3.7,0,25.09,2.4,515,,
57,,{197025},100.190442.244975.337574.284252.347953.040252,100.190442.244975.337574.284252.347953.040252.047656,LNIC,3,5,0.04345,370.9406,0,0,21.46,1.2,542,,
58,"{44598,44596,44597}",,100.190442.244975.337574.389845,100.190442.244975.337574.389845,LNIC,3,13,0.08355,1113.6871,22.83,0,0,1.17,668,,
59,,{196965},100.190442.244975.337574.389845,100.190442.244975.337574.389845.222514,LNIC,3,11,0.0867,965.5757,22.83,0,0,2.7,737,,
60,{53572},,100.190442.244975.337574.397497,100.190442.244975.337574.397497.683277,LNIC,3,12,0.01855,1443.7002,0.15,0,89.7,3.19,578,,
61,,{196995},100.190442.244975.337574.397497,100.190442.244975.337574.397497.814892,LNIC,3,8,0.0111,581.17,0.15,0,5.24,2.2,598,,
62,{44156},{197002},100.190442.244975.337574.397497.158042,100.190442.244975.337574.397497.158042,LNIC,3,23,0.0813,2487.8759,0.25,0,13.17,3.6,616,,
63,,{197008},100.190442.244975.337574.397497.214143,100.190442.244975.337574.397497.214143,LNIC,3,20,0.13935,616.4606,3.29,0,70.99,3.1,641,,
64,,{197006},100.190442.244975.337574.397497.360865,100.190442.244975.337574.397497.360865.447644,LNIC,3,5,0.024,278.8175,14.24,0,0.22,1.4,720,,
65,,{197001},100.190442.244975.337574.397497.402669,100.190442.244975.337574.397497.402669,LNIC,2,2,0.0277,252.0867,0,0,74.87,1.5,589,,
66,,{196997},100.190442.244975.337574.397497.475300,100.190442.244975.337574.397497.475300,LNIC,4,44,0.010733333,4676.1619,41.83,0,113.52,3.1,584,,
67,,{197011},100.190442.244975.337574.397497.475300,100.190442.244975.337574.397497.475300.569505,LNIC,4,27,0.0174,2226.8732,39.1,0,58.82,2.8,620,,
68,,{196996},100.190442.244975.337574.397497.571857,100.190442.244975.337574.397497.571857,LNIC,2,4,0.02154,427.6697,0,0,84.35,1.9,585,,
69,,{196999},100.190442.244975.337574.397497.622199,100.190442.244975.337574.397497.622199.238279,LNIC,3,8,0.0111,868.9826,16.8,0,4.95,1,608,,
70,,{197000},100.190442.244975.337574.397497.622199.406299,100.190442.244975.337574.397497.622199.406299.072245,LNIC,2,3,0.0806,266.7151,0,0,0.79,1.1,613,,
71,,{196994},100.190442.244975.337574.397497.683277,100.190442.244975.337574.397497.683277.073597,LNIC,4,43,0.008825,4620.1681,98.12,17.82,67.64,2.4,575,,
72,,{196993},100.190442.244975.337574.397497.683277,100.190442.244975.337574.397497.683277.204629,LNIC,4,41,0.008433333,3881.4449,92.48,0,62.28,2.4,570,,
73,{53471},,100.190442.244975.337574.397497.683277,100.190442.244975.337574.397497.683277.278785,LNIC,4,34,0.004725,2930.6905,90.69,0,52.08,1.68,565,,
74,,{196991},100.190442.244975.337574.397497.683277,100.190442.244975.337574.397497.683277.380880,LNIC,4,30,0.00995,2604.0968,52.41,0,40.86,2,558,,
75,,{196989},100.190442.244975.337574.397497.683277,100.190442.244975.337574.397497.683277.403350,LNIC,4,23,0,2169.0348,52.41,0,40.86,1.6,554,,
76,{53476},,100.190442.244975.337574.397497.683277.272586,100.190442.244975.337574.397497.683277.272586.389687,LNIC,2,4,0.1188,274.4803,0,0,0,1.25,591,,
77,{53535},,100.190442.244975.337574.397497.683277.278785,100.190442.244975.337574.397497.683277.278785,LNIC,1,1,0.025714286,0,6.17,0,12.28,3.15,573,,
78,,"{196990,196992}",100.190442.244975.337574.397497.683277.380880,100.190442.244975.337574.397497.683277.380880,LNIC,2,2,0.019033333,97.608,29.1,0,0,1.05,560,,
79,{70267},,100.190442.244975.337574.397497.683277.380880,100.190442.244975.337574.397497.683277.380880.702195,LNIC,1,1,0.2488,0,0,0,0,0.5,579,,
80,{53536},,100.190442.244975.337574.397497.683277.403350,100.190442.244975.337574.397497.683277.403350,LNIC,3,7,0.01195,355.3077,5.99,0,0,0.87,559,,
81,{53537},,100.190442.244975.337574.397497.683277.403350,100.190442.244975.337574.397497.683277.403350.457116,LNIC,1,1,0.0624,0,0,0,0,5.2,590,,
82,,{196988},100.190442.244975.337574.397497.683277.513713,100.190442.244975.337574.397497.683277.513713,LNIC,3,6,0.0232,265.0783,11.81,0,2.22,1.1,553,,
83,{53486},,100.190442.244975.337574.397497.683277.513713,100.190442.244975.337574.397497.683277.513713.389713,LNIC,3,5,0.04135,165.3893,2.24,0,2.22,1.36,576,,
84,{53578},,100.190442.244975.337574.397497.910752,100.190442.244975.337574.397497.910752,LNIC,2,2,0.029633333,67.5019,0,0,0.39,1.82,603,,
85,{53544},,100.190442.244975.337574.493036,100.190442.244975.337574.493036.317715,LNIC,2,4,0.0949,453.9622,0.1,0,6.23,3.05,819,,
86,"{44765,53545}",,100.190442.244975.337574.493036,100.190442.244975.337574.493036.362984,LNIC,1,1,0.074766667,0,0.1,0,0.27,1.77,991,,
87,{37511},,100.190442.244975.337574.510981,100.190442.244975.337574.510981.328822,LNIC,3,42,0.0498,2772.6538,29.45,0,18.86,4.92,902,,
88,{37512},,100.190442.244975.337574.510981,100.190442.244975.337574.510981.531431,LNIC,3,26,0.0716,1577.5571,29.45,0,18.86,4.64,1028,,
89,{37513},,100.190442.244975.337574.510981,100.190442.244975.337574.510981.900177,LNIC,2,5,0.00235,203.585,1.11,0,1.96,5.35,1354,,
90,{37514},{196958},100.190442.244975.337574.510981.079800,100.190442.244975.337574.510981.079800,LNIC,2,3,0.1073,128.0403,0,0,1.08,0.88,821,,
91,{37515},{196959},100.190442.244975.337574.510981.144820,100.190442.244975.337574.510981.144820,LNIC,2,2,0.1452,124.2197,0,0,1.48,0.38,831,,
92,{37516},,100.190442.244975.337574.510981.356258,100.190442.244975.337574.510981.356258,LNIC,1,1,0.1492,0,0,0,0,0.83,932,,
93,{37494},,100.190442.244975.337574.510981.423142,100.190442.244975.337574.510981.423142,LNIC,2,2,0.1776,80.792,0,0,0,1.02,975,,
94,{37496},,100.190442.244975.337574.510981.439479,100.190442.244975.337574.510981.439479.681399,LNIC,1,1,0.1609,0,0,0,0,0.92,995,,
95,{37517},,100.190442.244975.337574.510981.746106,100.190442.244975.337574.510981.746106,LNIC,2,3,0.016133333,264.5474,27.19,0,1.4,1.38,1206,,
96,{53546},,100.190442.244975.337574.532855,100.190442.244975.337574.532855,LNIC,3,8,0.06375,505.5872,0,0,0,3.6,898,,
97,{70268},,100.190442.244975.337574.532855,100.190442.244975.337574.532855.321830,LNIC,2,5,0.1383,242.0244,0,0,0,6.43,986,,
98,{53527},,100.190442.244975.337574.541900,100.190442.244975.337574.541900.549691,LNIC,2,2,0.0782,101.7491,1.07,0,0,5.23,1020,,
99,{53528},,100.190442.244975.337574.541900,100.190442.244975.337574.541900.774824,LNIC,1,1,0.08955,0,1.07,0,0,1.38,1063,,
100,,{196966},100.190442.244975.337574.653239,100.190442.244975.337574.653239,LNIC,2,3,0.01425,662.3298,4.09,0,4.61,2.9,1170,,
101,"{53547,53547}","{196967,196697}",100.190442.244975.337574.653239,100.190442.244975.337574.653239.073875,LNIC,2,2,0.041866667,481.4515,4.09,0,4.61,2.67,1144,,
102,{53529},,100.190442.244975.337574.653239,100.190442.244975.337574.653239.388334,LNIC,1,1,0.01344,0,4.09,0,3.15,15,1105,,
103,{37518},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.046628,LNIC,4,43,0.0172,6423.2666,8.52,0,0,19.67,1243,,
104,{37519},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.260879,LNIC,4,39,0.0196,5522.4676,6.56,0,0,15.98,1393,,
105,{37520},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.362618,LNIC,4,35,0.0266,4489.1725,5.65,0,0,19.67,1543,,
106,{37521},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.480844,LNIC,3,19,0.0445,2461.5045,3.3,0,0,12.33,1572,,
107,{37532},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.807409,LNIC,3,5,0.0506,374.5316,0,0,0,0.33,1721,,
108,{37522},,100.190442.244975.337574.668134,100.190442.244975.337574.668134.813934,LNIC,2,3,0.1039,179.5408,0,0,0,5.95,1820,,
109,{37524},,100.190442.244975.337574.668134.046299,100.190442.244975.337574.668134.046299.413790,LNIC,3,19,0.0664,852.1294,2.52,0,3.94,12,1596,,
110,{37525},,100.190442.244975.337574.668134.046299.225153,100.190442.244975.337574.668134.046299.225153,LNIC,2,2,0.1211,308.3075,1.03,0,0,16.5,1568,,
111,,{196940},100.190442.244975.337574.668134.046628,100.190442.244975.337574.668134.046628,LNIC,1,1,0.054,0,0,0,0,2.1,1161,,
112,{37508},,100.190442.244975.337574.668134.461153,100.190442.244975.337574.668134.461153.876153,LNIC,1,1,0.04885,0,0.08,0,0,0.57,1668,,
113,{37527},,100.190442.244975.337574.668134.480844,100.190442.244975.337574.668134.480844.501061,LNIC,3,9,0.0392,435.8378,0,0,0,3.68,1945,,
114,{37528},,100.190442.244975.337574.668134.612760,100.190442.244975.337574.668134.612760,LNIC,2,2,0.1377,102.3302,0,0,0,0.47,1759,,
115,{37529},,100.190442.244975.337574.668134.651882,100.190442.244975.337574.668134.651882,LNIC,2,2,0.0954,388.0948,2.18,0,0,4.53,1654,,
116,{37530},,100.190442.244975.337574.668134.651882,100.190442.244975.337574.668134.651882.381249,LNIC,1,1,0.074933333,0,1.91,0,0,2.78,1689,,
117,{37531},,100.190442.244975.337574.668134.745096,100.190442.244975.337574.668134.745096,LNIC,2,2,0.1773,44.3675,0,0,0,1.02,1677,,
118,,{196942},100.190442.244975.337574.762161,100.190442.244975.337574.762161,LNIC,4,31,0.0228,1292.1888,4.27,0,0.91,6.7,1332,,
119,,{196946},100.190442.244975.337574.886129,100.190442.244975.337574.886129,LNIC,2,2,0.1494,47.6138,0,0,0,3.5,1710,,
120,{51942},,100.190442.244975.337574.905806,100.190442.244975.337574.905806.537337,LNIC,2,7,0.02305,307.5753,10.82,0,0.82,6.63,2020,,
121,{51943},,100.190442.244975.337574.905806,100.190442.244975.337574.905806.628724,LNIC,2,5,0.009666667,204.3708,10.62,0,0.82,2.84,2036,,
122,"{44431,44430}",,100.190442.244975.419137.498537,100.190442.244975.419137.498537.717445,LNIC,1,1,0.0803,0,0,0,0,2,457,,
123,,{7883},100.190442.244975.463869,100.190442.244975.463869.624867,LNIC,4,95,0.005016667,4474.6468,125.98,0,69.77,3.8,473,,
124,,{8246},100.190442.244975.463869.600027.081574,100.190442.244975.463869.600027.081574.060674,LNIC,2,3,0.0391,134.7798,0,0,1.06,0.5,473,,
125,,{8245},100.190442.244975.463869.614928,100.190442.244975.463869.614928,LNIC,2,3,0.0316,91.9582,0,0,0,0.7,473,,
126,"{44760,44759}",,100.190442.244975.540845,100.190442.244975.540845.896514,LNIC,3,7,0.0569,492.5369,47.65,0,9.03,0.91,499,,
127,{37859},,100.190442.244975.540845.227619,100.190442.244975.540845.227619,LNIC,4,69,0.05785,5759.0694,172.33,0,29.8,1.38,302,,
128,{37860},,100.190442.244975.540845.227619,100.190442.244975.540845.227619.104992,LNIC,4,64,0.0802,5075.3486,172.33,0,27.76,1.73,323,,
129,"{37861,37867}",,100.190442.244975.540845.227619,100.190442.244975.540845.227619.746098,LNIC,3,18,0.0482,1233.594,45.08,0,17.18,2.96,479,,
130,"{37869,37870}",,100.190442.244975.540845.227619.862491,100.190442.244975.540845.227619.862491.192606,LNIC,1,1,0.0281,0,3.94,0,0.6,0.68,520,,
487,"{46963,46964}","{57168,57168}",100.458399.638146.468647.650481,100.458399.638146.468647.650481,HORS,2,6,0.005175,1377.5709,612.92,0,55.86,14.75,753,,
449,{65951},,100.458399.638146.468647.452856,100.458399.638146.468647.452856.125340,HORS,4,41,0.0033,7059.8028,21.06,0,312.61,10.69,686,,
450,{65953},,100.458399.638146.468647.452856,100.458399.638146.468647.452856.185609,HORS,3,22,0.02405,4141.8142,6.65,0,269.89,10.63,758,,
418,{53597},,100.458399.638146.468647,100.458399.638146.468647.861912,HORS,4,43,0.0053,3058.0327,316.88,0,1.5,9.33,797,,
175,"{46973,46974}","{126521,126521}",100.458399.638146.160656.155968,100.458399.638146.160656.155968.462978,HORS,3,6,0.006866667,861.5138,172.52,0,7.53,8.44,616,,
562,,{57124},100.458399.638146.686537.626859.363809,100.458399.638146.686537.626859.363809,HORS,1,1,0.0733,0,0,0,14.02,8.17,1156,,
431,,{57292},100.458399.638146.468647.381638.414217,100.458399.638146.468647.381638.414217,HORS,4,44,0.0111,3984.3962,350.16,0,109.47,7.95,722,,
480,,{123833},100.458399.638146.468647.603587,100.458399.638146.468647.603587.590236,HORS,1,1,0.0991,0,0,0,0,7.85,1052,,
419,{53598},,100.458399.638146.468647,100.458399.638146.468647.909423,HORS,4,36,0.006933333,2068.1777,293.27,0,1.5,7.58,792,,
506,,{6531},100.458399.638146.568800,100.458399.638146.568800,HORS,5,43,0.02635,3719.1514,2.12,0,61.21,7.2,797,,
451,"{65954,65955}",,100.458399.638146.468647.452856,100.458399.638146.468647.452856.449335,HORS,3,19,0.0415,3491.84,6.13,0,22.56,7.02,955,,
330,"{15615,15616}",,100.458399.638146.206074.829563,100.458399.638146.206074.829563.223765,HORS,3,9,0.008144444,1523.6738,77.99,0,38.1,7,1025,,
301,{15613},,100.458399.638146.206074.724740,100.458399.638146.206074.724740,HORS,4,79,0.0285,7129.1231,25.04,0,329.56,6.6,832,,
479,,{123832},100.458399.638146.468647.603587,100.458399.638146.468647.603587.286079,HORS,2,2,0.0549,567.8473,0,0,0,6.37,881,,
547,,{57251},100.458399.638146.674105.387023.474060,100.458399.638146.674105.387023.474060,HORS,1,1,0.0574,0,0,0,0,6,760,,
452,{65956},,100.458399.638146.468647.452856,100.458399.638146.468647.452856.752622,HORS,2,9,0.0116,772.5774,0.82,0,8.44,4.88,1178,,
589,{44814},,100.458399.638146.758606,100.458399.638146.758606.266433,HORS,5,195,0.0228,11870.6402,112.82,0,29.12,4.86,1183,,
432,,{57285},100.458399.638146.468647.381638.414217,100.458399.638146.468647.381638.414217.665921,HORS,3,14,0.0894,583.7521,2.01,0,0.84,4.63,1002,,
475,"{46966,46965,46966,46965}","{57445,57445,57430,57430}",100.458399.638146.468647.600242,100.458399.638146.468647.600242.103072,HORS,2,2,0.0269,61.0802,13.4,0,1.72,4.59,885,,
413,,{57470},100.458399.638146.451938,100.458399.638146.451938,HORS,4,23,0.023,2165.601,0.56,0,7.11,4.55,611,,
216,"{46990,46991,46990,46991}","{197181,197181,57151,57151}",100.458399.638146.160656.698797,100.458399.638146.160656.698797.617327,HORS,2,4,0.0989,494.3729,0,0,0.24,4.29,1109,,
238,"{47006,47007}","{124256,124256}",100.458399.638146.197970,100.458399.638146.197970,HORS,3,8,0.011,668.7056,10.42,0,50.34,4.25,567,,
331,"{46987,46986,15618}","{125937,125937,125937}",100.458399.638146.206074.829563.121798,100.458399.638146.206074.829563.121798,HORS,2,3,0.0283,1056.9966,50,0,64.39,4.24,1019,,
556,,{57244},100.458399.638146.674105.626976,100.458399.638146.674105.626976,HORS,2,5,0.16555,82.0442,0.84,0,11.37,4.23,997,,
595,,"{57461,57350,123914}",100.458399.638146.758606.299033,100.458399.638146.758606.299033,HORS,2,4,0.183,309.6803,10.6,0,0,4.23,1279,,
471,,{123916},100.458399.638146.468647.452856.814632,100.458399.638146.468647.452856.814632,HORS,1,1,0.0234,0,0,0,4.7,4.2,1146,,
267,{15606},,100.458399.638146.206074.317075,100.458399.638146.206074.317075.010730,HORS,4,46,0.005133333,9381.6578,820.66,0,806.18,4,598,,
192,,{57529},100.458399.638146.160656.317199,100.458399.638146.160656.317199.198603,HORS,2,4,0.0645,588.7899,0,0,0,3.9,763,,
458,{65961},,100.458399.638146.468647.452856.162265,100.458399.638146.468647.452856.162265,HORS,3,12,0.006475,1159.3348,14.41,0,279.27,3.87,682,,
464,,"{123846,123845}",100.458399.638146.468647.452856.185609,100.458399.638146.468647.452856.185609.362391,HORS,2,2,0.0885,268.2324,0,0,2.1,3.85,873,,
443,,{57282},100.458399.638146.468647.381638.414217.665921,100.458399.638146.468647.381638.414217.665921.151245,HORS,2,3,0.1223,270.313,0,0,0.88,3.77,1048,,
600,,{57459},100.458399.638146.758606.448759,100.458399.638146.758606.448759,HORS,3,8,0.1481,206.4495,0.83,0,0.97,3.73,1327,,
580,,{57147},100.458399.638146.732471,100.458399.638146.732471.156795,HORS,3,4,0.049811111,382.6574,0,0,7.45,3.72,990,,
336,"{46983,46982}","{124096,124096}",100.458399.638146.206074.900963,100.458399.638146.206074.900963,HORS,2,2,0.07685,361.7205,0,0,17.19,3.66,1126,,
568,,{57112},100.458399.638146.700931,100.458399.638146.700931.417498,HORS,2,7,0.0381,305.2919,0.85,0,2.88,3.64,1041,,
212,,{57121},100.458399.638146.160656.669834,100.458399.638146.160656.669834.536210,HORS,2,3,0.1017,286.2574,0,0,14.02,3.63,1092,,
507,,{57368},100.458399.638146.568800,100.458399.638146.568800.491278,HORS,3,7,0.02365,782.7802,0,0,29.61,3.56,872,,
491,,{57169},100.458399.638146.468647.651762,100.458399.638146.468647.651762,HORS,2,6,0.05725,642.1491,496.61,0,0,3.53,837,,
168,,{124249},100.458399.638146.160656.128245,100.458399.638146.160656.128245,HORS,2,2,0.002033333,158.0478,5822.56,0,7.22,3.48,579,,
453,,{123936},100.458399.638146.468647.452856,100.458399.638146.468647.452856.814632,HORS,2,7,0.0499,261.9804,0.62,0,1.06,3.4,1305,,
341,"{46915,46916}","{57556,57556}",100.458399.638146.259900,100.458399.638146.259900,HORS,3,14,0.00715,2881.3219,50.77,0,89,3.34,576,,
154,,{57204},100.458399.638146.160656,100.458399.638146.160656.877795,HORS,3,18,0.057842857,707.3536,14.33,0,9.7,3.26,989,,
598,,{57460},100.458399.638146.758606.370663,100.458399.638146.758606.370663,HORS,3,8,0.1801,467.9911,26.17,0,0.93,3.23,1196,,
490,,"{57290,57173,57291}",100.458399.638146.468647.650481.415106,100.458399.638146.468647.650481.415106,HORS,1,1,0.039493333,0,91.88,0,50.02,3.18,788,,
599,,{57341},100.458399.638146.758606.432888,100.458399.638146.758606.432888,HORS,1,1,0.315,0,0,0,0,3.17,1347,,
264,,{126477},100.458399.638146.206074.269659,100.458399.638146.206074.269659.656486,HORS,3,4,0.002333333,225.7268,0.17,0,123.31,3.16,594,,
488,"{46962,46961}","{57298,57298}",100.458399.638146.468647.650481,100.458399.638146.468647.650481.519638,HORS,2,3,0.008966667,319.2277,24.43,0,53.27,3.16,764,,
498,,{57413},100.458399.638146.468647.774208,100.458399.638146.468647.774208.036401,HORS,2,5,0.0968,588.9501,0.16,0,0,3.15,904,,
